time,G(i),H_sun,T2m,WS10m,Int
20100101:0007,0,0,11.17,1.59,0
20100101:0107,0,0,10.67,1.59,0
20100101:0207,0,0,10.11,1.79,0
20100101:0307,0,0,9.88,1.86,0
20100101:0407,91.98,2.76,9.77,1.93,0
20100101:0507,432.28,15.67,11.48,1.72,0
20100101:0607,681.34,27.82,15.42,1.72,0
20100101:0707,867.69,38.65,19.13,1.72,0
20100101:0807,987.62,47.15,21.08,1.66,0
20100101:0907,1034.38,51.71,22.13,1.24,0
20100101:1007,998.94,50.91,23.35,0.76,0
20100101:1107,887.09,45.06,23.95,0.28,0
20100101:1207,702.6,35.75,24.15,0.21,0
20100101:1307,472.43,24.47,23.86,0.48,0
20100101:1407,208.97,12.06,23.18,0.62,0
20100101:1507,0,0,21.62,0.83,0
20100101:1607,0,0,19.79,1.38,0
20100101:1707,0,0,18.3,1.66,0
20100101:1807,0,0,16.68,1.66,0
20100101:1907,0,0,14.93,1.93,0
20100101:2007,0,0,13.71,2.14,0
20100101:2107,0,0,12.55,2.21,0
20100101:2207,0,0,11.87,2.28,0
20100101:2307,0,0,11.49,2.34,0
20100102:0007,0,0,11.16,2.34,0
20100102:0107,0,0,10.92,2.34,0
20100102:0207,0,0,10.59,2.34,0
20100102:0307,0,0,10.33,2.41,0
20100102:0407,17.78,2.69,10.41,2.41,0
20100102:0507,443.28,15.61,12.14,2.28,0
20100102:0607,642.75,27.78,15.96,2.55,0
20100102:0707,860.81,38.64,19.57,2.9,0
20100102:0807,973.48,47.17,22.14,3.31,0
20100102:0907,987.11,51.78,23.97,2.9,0
20100102:1007,948.68,51.02,25.41,2.14,0
20100102:1107,760.16,45.19,26.18,1.31,0
20100102:1207,600.61,35.89,26.48,0.69,0
20100102:1307,399.73,24.6,26.3,0.69,0
20100102:1407,154.07,12.18,25.63,0.76,0
20100102:1507,0,0,23.93,0.9,0
20100102:1607,0,0,21.63,1.52,0
20100102:1707,0,0,19.6,1.66,0
20100102:1807,0,0,18.19,1.66,0
20100102:1907,0,0,16.95,2,0
20100102:2007,0,0,16.11,2.14,0
20100102:2107,0,0,15.34,2.21,0
20100102:2207,0,0,14.49,2.34,0
20100102:2307,0,0,13.81,2.34,0
20100103:0007,0,0,13.22,2.28,0
20100103:0107,0,0,12.77,2.21,0
20100103:0207,0,0,12.34,2.14,0
20100103:0307,0,0,11.96,2.14,0
20100103:0407,63.82,2.62,11.64,2.21,0
20100103:0507,397.69,15.55,13.43,2,0
20100103:0607,673.87,27.74,18.05,2.14,0
20100103:0707,872.26,38.63,20.94,2.28,0
20100103:0807,987.92,47.21,23.27,2.21,0
20100103:0907,1035.8,51.85,24.94,1.45,0
20100103:1007,1001.38,51.14,26.09,1.24,0
20100103:1107,901.51,45.32,26.82,1.72,0
20100103:1207,706.02,36.03,27.15,2.21,0
20100103:1307,477.01,24.73,26.87,2.55,0
20100103:1407,228.3,12.31,26.09,2.48,0
20100103:1507,0,0,24.32,1.93,0
20100103:1607,0,0,22.47,1.79,0
20100103:1707,0,0,20.98,1.72,0
20100103:1807,0,0,19.27,1.45,0
20100103:1907,0,0,17.98,1.66,0
20100103:2007,0,0,17.33,1.66,0
20100103:2107,0,0,16.67,1.52,0
20100103:2207,0,0,15.96,1.45,0
20100103:2307,0,0,14.93,1.45,0
20100104:0007,0,0,14.15,1.59,0
20100104:0107,0,0,13.81,1.59,0
